order,lesson_id,title,level,level_title,module,status,route,legacy_route,prerequisites
49,"d-a","D&A",2,"Financial Statements","Income statement",outline,"#/lesson/d-a","#/topic/2-income-statement-d-a",""
50,"ebit","EBIT",2,"Financial Statements","Income statement",outline,"#/lesson/ebit","#/topic/2-income-statement-ebit",""
51,"interest-expense","Interest",2,"Financial Statements","Income statement",draft,"#/lesson/interest-expense","#/topic/2-income-statement-interest",""
52,"ebt","EBT",2,"Financial Statements","Income statement",outline,"#/lesson/ebt","#/topic/2-income-statement-ebt",""
53,"taxes","Taxes",2,"Financial Statements","Income statement",outline,"#/lesson/taxes","#/topic/2-income-statement-taxes",""
54,"net-income","Net income",2,"Financial Statements","Income statement",outline,"#/lesson/net-income","#/topic/2-income-statement-net-income",""
55,"cash-balance-sheet","Cash",2,"Financial Statements","Balance sheet",draft,"#/lesson/cash-balance-sheet","#/topic/2-balance-sheet-cash",""
56,"receivables","Receivables",2,"Financial Statements","Balance sheet",outline,"#/lesson/receivables","#/topic/2-balance-sheet-receivables",""
57,"inventory-balance-sheet","Inventory",2,"Financial Statements","Balance sheet",outline,"#/lesson/inventory-balance-sheet","#/topic/2-balance-sheet-inventory",""
58,"ppe-balance-sheet","PP&E",2,"Financial Statements","Balance sheet",outline,"#/lesson/ppe-balance-sheet","#/topic/2-balance-sheet-pp-e",""
59,"intangibles","Intangibles",2,"Financial Statements","Balance sheet",outline,"#/lesson/intangibles","#/topic/2-balance-sheet-intangibles",""
60,"debt-balance-sheet","Debt",2,"Financial Statements","Balance sheet",draft,"#/lesson/debt-balance-sheet","#/topic/2-balance-sheet-debt",""
61,"payables","Payables",2,"Financial Statements","Balance sheet",outline,"#/lesson/payables","#/topic/2-balance-sheet-payables",""
62,"other-liabilities","Other liabilities",2,"Financial Statements","Balance sheet",outline,"#/lesson/other-liabilities","#/topic/2-balance-sheet-other-liabilities",""
63,"equity-balance-sheet","Equity",2,"Financial Statements","Balance sheet",draft,"#/lesson/equity-balance-sheet","#/topic/2-balance-sheet-equity",""
64,"cfo","CFO",2,"Financial Statements","Cash flow statement",outline,"#/lesson/cfo","#/topic/2-cash-flow-statement-cfo",""
65,"cfi","CFI",2,"Financial Statements","Cash flow statement",outline,"#/lesson/cfi","#/topic/2-cash-flow-statement-cfi",""
66,"cff","CFF",2,"Financial Statements","Cash flow statement",outline,"#/lesson/cff","#/topic/2-cash-flow-statement-cff",""
67,"capex","Capex",2,"Financial Statements","Cash flow statement",outline,"#/lesson/capex","#/topic/2-cash-flow-statement-capex",""
68,"change-in-working-capital","Change in working capital",2,"Financial Statements","Cash flow statement",outline,"#/lesson/change-in-working-capital","#/topic/2-cash-flow-statement-change-in-working-capital",""
69,"debt-issuance","Debt issuance",2,"Financial Statements","Cash flow statement",outline,"#/lesson/debt-issuance","#/topic/2-cash-flow-statement-debt-issuance",""
70,"debt-repayment","Debt repayment",2,"Financial Statements","Cash flow statement",outline,"#/lesson/debt-repayment","#/topic/2-cash-flow-statement-debt-repayment",""
71,"dividends","Dividends",2,"Financial Statements","Cash flow statement",outline,"#/lesson/dividends","#/topic/2-cash-flow-statement-dividends",""
72,"stock-issuance","Stock issuance",2,"Financial Statements","Cash flow statement",outline,"#/lesson/stock-issuance","#/topic/2-cash-flow-statement-stock-issuance",""
73,"three-statement-connection","Three-statement connection",2,"Financial Statements","Three-statement connection",outline,"#/lesson/three-statement-connection","#/topic/2-three-statement-connection-three-statement-connection",""
74,"revenue-cascade-through-the-three-statements","Revenue cascade through the three statements",2,"Financial Statements","Three-statement connection",outline,"#/lesson/revenue-cascade-through-the-three-statements","#/topic/2-three-statement-connection-revenue-cascade-through-the-three-statements",""
75,"profit-to-cash","Profit to cash",2,"Financial Statements","Three-statement connection",outline,"#/lesson/profit-to-cash","#/topic/2-three-statement-connection-profit-to-cash",""
76,"balance-sheet-check","Balance sheet check",2,"Financial Statements","Three-statement connection",outline,"#/lesson/balance-sheet-check","#/topic/2-three-statement-connection-balance-sheet-check",""
77,"gross-margin","Gross margin",3,"Financial Analysis","Profitability & returns",outline,"#/lesson/gross-margin","#/topic/3-profitability-returns-gross-margin",""
78,"ebitda-margin","EBITDA margin",3,"Financial Analysis","Profitability & returns",outline,"#/lesson/ebitda-margin","#/topic/3-profitability-returns-ebitda-margin",""
79,"ebit-margin","EBIT margin",3,"Financial Analysis","Profitability & returns",outline,"#/lesson/ebit-margin","#/topic/3-profitability-returns-ebit-margin",""
80,"net-margin","Net margin",3,"Financial Analysis","Profitability & returns",outline,"#/lesson/net-margin","#/topic/3-profitability-returns-net-margin",""
81,"roe","ROE",3,"Financial Analysis","Profitability & returns",outline,"#/lesson/roe","#/topic/3-profitability-returns-roe",""
82,"roa","ROA",3,"Financial Analysis","Profitability & returns",outline,"#/lesson/roa","#/topic/3-profitability-returns-roa",""
83,"roic","ROIC",3,"Financial Analysis","Profitability & returns",outline,"#/lesson/roic","#/topic/3-profitability-returns-roic",""
84,"asset-turnover","Asset turnover",3,"Financial Analysis","Profitability & returns",outline,"#/lesson/asset-turnover","#/topic/3-profitability-returns-asset-turnover",""
85,"current-ratio","Current ratio",3,"Financial Analysis","Liquidity & leverage",outline,"#/lesson/current-ratio","#/topic/3-liquidity-leverage-current-ratio",""
86,"quick-ratio","Quick ratio",3,"Financial Analysis","Liquidity & leverage",outline,"#/lesson/quick-ratio","#/topic/3-liquidity-leverage-quick-ratio",""
87,"debt-equity","Debt/equity",3,"Financial Analysis","Liquidity & leverage",outline,"#/lesson/debt-equity","#/topic/3-liquidity-leverage-debt-equity",""
88,"net-debt-ebitda","Net debt/EBITDA",3,"Financial Analysis","Liquidity & leverage",outline,"#/lesson/net-debt-ebitda","#/topic/3-liquidity-leverage-net-debt-ebitda",""
89,"interest-coverage","Interest coverage",3,"Financial Analysis","Liquidity & leverage",outline,"#/lesson/interest-coverage","#/topic/3-liquidity-leverage-interest-coverage",""
90,"free-cash-flow","Free cash flow",3,"Financial Analysis","Cash & operating analysis",draft,"#/lesson/free-cash-flow","#/topic/3-cash-operating-analysis-free-cash-flow",""
91,"working-capital-analysis","Working capital analysis",3,"Financial Analysis","Cash & operating analysis",outline,"#/lesson/working-capital-analysis","#/topic/3-cash-operating-analysis-working-capital-analysis",""
92,"cash-conversion-cycle","Cash conversion cycle",3,"Financial Analysis","Cash & operating analysis",outline,"#/lesson/cash-conversion-cycle","#/topic/3-cash-operating-analysis-cash-conversion-cycle",""
93,"operating-leverage","Operating leverage",3,"Financial Analysis","Cash & operating analysis",outline,"#/lesson/operating-leverage","#/topic/3-cash-operating-analysis-operating-leverage",""
94,"financial-leverage","Financial leverage",3,"Financial Analysis","Cash & operating analysis",outline,"#/lesson/financial-leverage","#/topic/3-cash-operating-analysis-financial-leverage",""
95,"model-architecture","Model architecture",4,"Financial Modeling","Model architecture",outline,"#/lesson/model-architecture","#/topic/4-model-architecture-model-architecture",""
96,"assumptions","Assumptions",4,"Financial Modeling","Model architecture",outline,"#/lesson/assumptions","#/topic/4-model-architecture-assumptions",""
97,"historical-periods","Historical periods",4,"Financial Modeling","Model architecture",outline,"#/lesson/historical-periods","#/topic/4-model-architecture-historical-periods",""
98,"forecast-periods","Forecast periods",4,"Financial Modeling","Model architecture",outline,"#/lesson/forecast-periods","#/topic/4-model-architecture-forecast-periods",""
99,"drivers","Drivers",4,"Financial Modeling","Model architecture",outline,"#/lesson/drivers","#/topic/4-model-architecture-drivers",""
100,"model-formatting","Model formatting",4,"Financial Modeling","Model architecture",outline,"#/lesson/model-formatting","#/topic/4-model-architecture-model-formatting",""
101,"model-best-practices","Model best practices",4,"Financial Modeling","Model architecture",outline,"#/lesson/model-best-practices","#/topic/4-model-architecture-model-best-practices",""
102,"revenue-build","Revenue build",4,"Financial Modeling","Operating schedules",outline,"#/lesson/revenue-build","#/topic/4-operating-schedules-revenue-build",""
103,"cost-build","Cost build",4,"Financial Modeling","Operating schedules",outline,"#/lesson/cost-build","#/topic/4-operating-schedules-cost-build",""
104,"headcount-model","Headcount model",4,"Financial Modeling","Operating schedules",outline,"#/lesson/headcount-model","#/topic/4-operating-schedules-headcount-model",""
105,"working-capital-model","Working capital model",4,"Financial Modeling","Operating schedules",outline,"#/lesson/working-capital-model","#/topic/4-operating-schedules-working-capital-model",""
106,"capex-model","Capex model",4,"Financial Modeling","Operating schedules",outline,"#/lesson/capex-model","#/topic/4-operating-schedules-capex-model",""
107,"depreciation-schedule","Depreciation schedule",4,"Financial Modeling","Operating schedules",outline,"#/lesson/depreciation-schedule","#/topic/4-operating-schedules-depreciation-schedule",""
108,"debt-schedule","Debt schedule",4,"Financial Modeling","Operating schedules",outline,"#/lesson/debt-schedule","#/topic/4-operating-schedules-debt-schedule",""
109,"interest-schedule","Interest schedule",4,"Financial Modeling","Operating schedules",outline,"#/lesson/interest-schedule","#/topic/4-operating-schedules-interest-schedule",""
110,"tax-schedule","Tax schedule",4,"Financial Modeling","Operating schedules",outline,"#/lesson/tax-schedule","#/topic/4-operating-schedules-tax-schedule",""
111,"retained-earnings-schedule","Retained earnings",4,"Financial Modeling","Operating schedules",outline,"#/lesson/retained-earnings-schedule","#/topic/4-operating-schedules-retained-earnings",""
112,"three-statement-model","Three-statement model",4,"Financial Modeling","Integrated modeling",outline,"#/lesson/three-statement-model","#/topic/4-integrated-modeling-three-statement-model",""
113,"scenario-analysis","Scenario analysis",4,"Financial Modeling","Integrated modeling",outline,"#/lesson/scenario-analysis","#/topic/4-integrated-modeling-scenario-analysis",""
114,"sensitivity-analysis","Sensitivity analysis",4,"Financial Modeling","Integrated modeling",outline,"#/lesson/sensitivity-analysis","#/topic/4-integrated-modeling-sensitivity-analysis",""
115,"model-checks","Model checks",4,"Financial Modeling","Integrated modeling",outline,"#/lesson/model-checks","#/topic/4-integrated-modeling-model-checks",""
116,"circularity","Circularity",4,"Financial Modeling","Integrated modeling",outline,"#/lesson/circularity","#/topic/4-integrated-modeling-circularity",""
117,"revenue-forecast","Revenue",4,"Financial Modeling","Build a real model",draft,"#/lesson/revenue-forecast","#/topic/4-build-a-real-model-revenue",""
118,"gross-profit-model","Gross Profit",4,"Financial Modeling","Build a real model",outline,"#/lesson/gross-profit-model","#/topic/4-build-a-real-model-gross-profit",""
119,"ebitda-model","EBITDA",4,"Financial Modeling","Build a real model",draft,"#/lesson/ebitda-model","#/topic/4-build-a-real-model-ebitda",""
120,"ebit-model","EBIT",4,"Financial Modeling","Build a real model",outline,"#/lesson/ebit-model","#/topic/4-build-a-real-model-ebit",""
121,"net-income-model","Net Income",4,"Financial Modeling","Build a real model",outline,"#/lesson/net-income-model","#/topic/4-build-a-real-model-net-income",""
122,"cash-flow","Cash Flow",4,"Financial Modeling","Build a real model",outline,"#/lesson/cash-flow","#/topic/4-build-a-real-model-cash-flow",""
123,"balance-sheet","Balance Sheet",4,"Financial Modeling","Build a real model",outline,"#/lesson/balance-sheet","#/topic/4-build-a-real-model-balance-sheet",""
124,"enterprise-value","Enterprise value",5,"Valuation","Valuation building blocks",draft,"#/lesson/enterprise-value","#/topic/5-valuation-building-blocks-enterprise-value",""
125,"equity-value","Equity value",5,"Valuation","Valuation building blocks",draft,"#/lesson/equity-value","#/topic/5-valuation-building-blocks-equity-value",""
126,"market-capitalization","Market capitalization",5,"Valuation","Valuation building blocks",draft,"#/lesson/market-capitalization","#/topic/5-valuation-building-blocks-market-capitalization",""
127,"net-debt","Net debt",5,"Valuation","Valuation building blocks",outline,"#/lesson/net-debt","#/topic/5-valuation-building-blocks-net-debt",""
128,"ev-revenue","EV/Revenue",5,"Valuation","Valuation building blocks",outline,"#/lesson/ev-revenue","#/topic/5-valuation-building-blocks-ev-revenue",""
129,"ev-ebitda","EV/EBITDA",5,"Valuation","Valuation building blocks",outline,"#/lesson/ev-ebitda","#/topic/5-valuation-building-blocks-ev-ebitda",""
130,"p-e","P/E",5,"Valuation","Valuation building blocks",outline,"#/lesson/p-e","#/topic/5-valuation-building-blocks-p-e",""
131,"peg","PEG",5,"Valuation","Valuation building blocks",outline,"#/lesson/peg","#/topic/5-valuation-building-blocks-peg",""
132,"dcf","DCF",5,"Valuation","DCF",outline,"#/lesson/dcf","#/topic/5-dcf-dcf",""
133,"wacc","WACC",5,"Valuation","DCF",draft,"#/lesson/wacc","#/topic/5-dcf-wacc",""
134,"cost-of-equity","Cost of equity",5,"Valuation","DCF",outline,"#/lesson/cost-of-equity","#/topic/5-dcf-cost-of-equity",""
135,"cost-of-debt","Cost of debt",5,"Valuation","DCF",outline,"#/lesson/cost-of-debt","#/topic/5-dcf-cost-of-debt",""
136,"capm","CAPM",5,"Valuation","DCF",draft,"#/lesson/capm","#/topic/5-dcf-capm",""
137,"beta","Beta",5,"Valuation","DCF",draft,"#/lesson/beta","#/topic/5-dcf-beta",""
138,"risk-free-rate","Risk-free rate",5,"Valuation","DCF",outline,"#/lesson/risk-free-rate","#/topic/5-dcf-risk-free-rate",""
139,"equity-risk-premium","Equity risk premium",5,"Valuation","DCF",outline,"#/lesson/equity-risk-premium","#/topic/5-dcf-equity-risk-premium",""
140,"terminal-value","Terminal value",5,"Valuation","DCF",draft,"#/lesson/terminal-value","#/topic/5-dcf-terminal-value",""
141,"perpetuity-growth","Perpetuity growth",5,"Valuation","DCF",outline,"#/lesson/perpetuity-growth","#/topic/5-dcf-perpetuity-growth",""
142,"exit-multiple","Exit multiple",5,"Valuation","DCF",outline,"#/lesson/exit-multiple","#/topic/5-dcf-exit-multiple",""
143,"discount-factors","Discount factors",5,"Valuation","DCF",outline,"#/lesson/discount-factors","#/topic/5-dcf-discount-factors",""
144,"sensitivity-analysis-dcf","Sensitivity analysis",5,"Valuation","DCF",outline,"#/lesson/sensitivity-analysis-dcf","#/topic/5-dcf-sensitivity-analysis",""
145,"revenue-growth","Revenue growth",5,"Valuation","Live DCF",outline,"#/lesson/revenue-growth","#/topic/5-live-dcf-revenue-growth",""
146,"margin","Margin",5,"Valuation","Live DCF",outline,"#/lesson/margin","#/topic/5-live-dcf-margin",""
147,"wacc-dcf-input","WACC",5,"Valuation","Live DCF",draft,"#/lesson/wacc-dcf-input","#/topic/5-live-dcf-wacc",""
148,"terminal-growth","Terminal growth",5,"Valuation","Live DCF",outline,"#/lesson/terminal-growth","#/topic/5-live-dcf-terminal-growth",""
149,"enterprise-value-dcf-output","Enterprise Value",5,"Valuation","Live DCF",outline,"#/lesson/enterprise-value-dcf-output","#/topic/5-live-dcf-enterprise-value",""
150,"equity-value-dcf-output","Equity Value",5,"Valuation","Live DCF",outline,"#/lesson/equity-value-dcf-output","#/topic/5-live-dcf-equity-value",""
151,"share-price","Share Price",5,"Valuation","Live DCF",outline,"#/lesson/share-price","#/topic/5-live-dcf-share-price",""
152,"comparable-companies","Comparable companies",6,"Investment Banking","Transaction valuation",draft,"#/lesson/comparable-companies","#/topic/6-transaction-valuation-comparable-companies",""
153,"precedent-transactions","Precedent transactions",6,"Investment Banking","Transaction valuation",draft,"#/lesson/precedent-transactions","#/topic/6-transaction-valuation-precedent-transactions",""
154,"trading-multiples","Trading multiples",6,"Investment Banking","Transaction valuation",outline,"#/lesson/trading-multiples","#/topic/6-transaction-valuation-trading-multiples",""
155,"transaction-multiples","Transaction multiples",6,"Investment Banking","Transaction valuation",outline,"#/lesson/transaction-multiples","#/topic/6-transaction-valuation-transaction-multiples",""
156,"accretion-dilution","Accretion/dilution",6,"Investment Banking","M&A modeling",draft,"#/lesson/accretion-dilution","#/topic/6-m-a-modeling-accretion-dilution",""
157,"merger-models","Merger models",6,"Investment Banking","M&A modeling",outline,"#/lesson/merger-models","#/topic/6-m-a-modeling-merger-models",""
158,"sources-and-uses","Sources & Uses",6,"Investment Banking","M&A modeling",draft,"#/lesson/sources-and-uses","#/topic/6-m-a-modeling-sources-uses",""
159,"purchase-price","Purchase price",6,"Investment Banking","M&A modeling",outline,"#/lesson/purchase-price","#/topic/6-m-a-modeling-purchase-price",""
160,"financing-mix","Financing mix",6,"Investment Banking","M&A modeling",outline,"#/lesson/financing-mix","#/topic/6-m-a-modeling-financing-mix",""
161,"goodwill-acquisition","Goodwill",6,"Investment Banking","M&A modeling",outline,"#/lesson/goodwill-acquisition","#/topic/6-m-a-modeling-goodwill",""
162,"synergies","Synergies",6,"Investment Banking","M&A modeling",draft,"#/lesson/synergies","#/topic/6-m-a-modeling-synergies",""
163,"pro-forma-financials","Pro forma financials",6,"Investment Banking","M&A modeling",outline,"#/lesson/pro-forma-financials","#/topic/6-m-a-modeling-pro-forma-financials",""
164,"debt-schedules","Debt schedules",6,"Investment Banking","M&A modeling",outline,"#/lesson/debt-schedules","#/topic/6-m-a-modeling-debt-schedules",""
165,"lbo-basics","LBO basics",6,"Investment Banking","LBO basics",outline,"#/lesson/lbo-basics","#/topic/6-lbo-basics-lbo-basics",""
166,"entry-valuation","Entry valuation",7,"Private Equity / LBO","LBO construction",outline,"#/lesson/entry-valuation","#/topic/7-lbo-construction-entry-valuation",""
167,"debt-financing","Debt financing",7,"Private Equity / LBO","LBO construction",outline,"#/lesson/debt-financing","#/topic/7-lbo-construction-debt-financing",""
168,"sources-and-uses-lbo","Sources & Uses",7,"Private Equity / LBO","LBO construction",draft,"#/lesson/sources-and-uses-lbo","#/topic/7-lbo-construction-sources-uses",""
169,"operating-case","Operating case",7,"Private Equity / LBO","LBO construction",outline,"#/lesson/operating-case","#/topic/7-lbo-construction-operating-case",""
170,"debt-paydown","Debt paydown",7,"Private Equity / LBO","LBO construction",outline,"#/lesson/debt-paydown","#/topic/7-lbo-construction-debt-paydown",""
171,"exit-valuation","Exit valuation",7,"Private Equity / LBO","LBO construction",outline,"#/lesson/exit-valuation","#/topic/7-lbo-construction-exit-valuation",""
172,"exit-multiple-lbo","Exit multiple",7,"Private Equity / LBO","LBO construction",outline,"#/lesson/exit-multiple-lbo","#/topic/7-lbo-construction-exit-multiple",""
173,"sponsor-equity","Sponsor equity",7,"Private Equity / LBO","LBO construction",outline,"#/lesson/sponsor-equity","#/topic/7-lbo-construction-sponsor-equity",""
174,"moic","MOIC",7,"Private Equity / LBO","Sponsor returns",draft,"#/lesson/moic","#/topic/7-sponsor-returns-moic",""
175,"irr","IRR",7,"Private Equity / LBO","Sponsor returns",draft,"#/lesson/irr","#/topic/7-sponsor-returns-irr",""
176,"management-options","Management options",7,"Private Equity / LBO","Sponsor returns",outline,"#/lesson/management-options","#/topic/7-sponsor-returns-management-options",""
177,"sensitivity-analysis-lbo","Sensitivity analysis",7,"Private Equity / LBO","Sponsor returns",outline,"#/lesson/sensitivity-analysis-lbo","#/topic/7-sponsor-returns-sensitivity-analysis",""
178,"business-analysis","Business analysis",8,"Equity Research & Investing","Business analysis",outline,"#/lesson/business-analysis","#/topic/8-business-analysis-business-analysis",""
179,"revenue-drivers","Revenue drivers",8,"Equity Research & Investing","Business analysis",outline,"#/lesson/revenue-drivers","#/topic/8-business-analysis-revenue-drivers",""
180,"unit-economics","Unit economics",8,"Equity Research & Investing","Business analysis",outline,"#/lesson/unit-economics","#/topic/8-business-analysis-unit-economics",""
181,"competitive-advantage","Competitive advantage",8,"Equity Research & Investing","Business analysis",outline,"#/lesson/competitive-advantage","#/topic/8-business-analysis-competitive-advantage",""
182,"tam-sam-som","TAM / SAM / SOM",8,"Equity Research & Investing","Business analysis",outline,"#/lesson/tam-sam-som","#/topic/8-business-analysis-tam-sam-som",""
183,"management-analysis","Management analysis",8,"Equity Research & Investing","Business analysis",outline,"#/lesson/management-analysis","#/topic/8-business-analysis-management-analysis",""
184,"earnings","Earnings",8,"Equity Research & Investing","Business analysis",outline,"#/lesson/earnings","#/topic/8-business-analysis-earnings",""
185,"guidance","Guidance",8,"Equity Research & Investing","Business analysis",outline,"#/lesson/guidance","#/topic/8-business-analysis-guidance",""
186,"free-cash-flow-investment-case","Free cash flow",8,"Equity Research & Investing","Investment case",draft,"#/lesson/free-cash-flow-investment-case","#/topic/8-investment-case-free-cash-flow",""
187,"valuation","Valuation",8,"Equity Research & Investing","Investment case",outline,"#/lesson/valuation","#/topic/8-investment-case-valuation",""
188,"investment-thesis","Investment thesis",8,"Equity Research & Investing","Investment case",outline,"#/lesson/investment-thesis","#/topic/8-investment-case-investment-thesis",""
